date,media,folder,group,title,topics,url,featured,featured_rank,naver_search
2025-10-27,전자신문,Crypto-Stablecoin,media-crypto,"APEC과 FOMC, 가상화폐 시장의 '변곡점'을 맞이하다",가상자산; FOMC; APEC,https://www.etnews.com/20251027000423,false,,https://search.naver.com/search.naver?where=news&query=%5B%EA%B9%80%ED%98%B8%EA%B4%91%20%EC%B9%BC%EB%9F%BC%5D%20APEC%EA%B3%BC%20FOMC%2C%20%EA%B0%80%EC%83%81%ED%99%94%ED%8F%90%20%EC%8B%9C%EC%9E%A5%EC%9D%98%20'%EB%B3%80%EA%B3%A1%EC%A0%90'%EC%9D%84%20%EB%A7%9E%EC%9D%B4%ED%95%98%EB%8B%A4
2025-10-22,전자신문,Crypto-Stablecoin,media-crypto,"가상화폐 거래소의 딜레마, 폭락 속에 드러난 거래소의 취약성",거래소; 폭락; 인프라,,false,,https://search.naver.com/search.naver?where=news&query=%5B%EA%B9%80%ED%98%B8%EA%B4%91%20%EC%B9%BC%EB%9F%BC%5D%20%EA%B0%80%EC%83%81%ED%99%94%ED%8F%90%20%EA%B1%B0%EB%9E%98%EC%86%8C%EC%9D%98%20%EB%94%9C%EB%A0%88%EB%A7%88%2C%20%ED%8F%AD%EB%9D%BD%20%EC%86%8D%EC%97%90%20%EB%93%9C%EB%9F%AC%EB%82%9C%20%EA%B1%B0%EB%9E%98%EC%86%8C%EC%9D%98%20%EC%B7%A8%EC%95%BD%EC%84%B1
2025-10-13,전자신문,Crypto-Stablecoin,media-crypto,"트럼프가 쏘아 올린 작은 공, 가상자산 도박장에 경종을 울리다",트럼프; 관세; 가상자산,https://www.etnews.com/20251013000241,false,,https://search.naver.com/search.naver?where=news&query=%5B%EA%B9%80%ED%98%B8%EA%B4%91%20%EC%B9%BC%EB%9F%BC%5D%20%ED%8A%B8%EB%9F%BC%ED%94%84%EA%B0%80%20%EC%8F%98%EC%95%84%20%EC%98%AC%EB%A6%B0%20%EC%9E%91%EC%9D%80%20%EA%B3%B5%2C%20%EA%B0%80%EC%83%81%EC%9E%90%EC%82%B0%20%EB%8F%84%EB%B0%95%EC%9E%A5%EC%97%90%20%EA%B2%BD%EC%A2%85%EC%9D%84%20%EC%9A%B8%EB%A6%AC%EB%8B%A4
2025-09-29,전자신문,Crypto-Stablecoin,media-crypto,세계 3위 거래소 업비트 빅딜이 의미하는 네이버-두나무 핀테크,업비트; 네이버; 두나무,https://www.etnews.com/20250929000321,true,7,https://search.naver.com/search.naver?where=news&query=%5B%EA%B9%80%ED%98%B8%EA%B4%91%20%EC%B9%BC%EB%9F%BC%5D%20%EC%84%B8%EA%B3%84%203%EC%9C%84%20%EA%B1%B0%EB%9E%98%EC%86%8C%20%EC%97%85%EB%B9%84%ED%8A%B8%20%EB%B9%85%EB%94%9C%EC%9D%B4%20%EC%9D%98%EB%AF%B8%ED%95%98%EB%8A%94%20%EB%84%A4%EC%9D%B4%EB%B2%84-%EB%91%90%EB%82%98%EB%AC%B4%20%ED%95%80%ED%85%8C%ED%81%AC
2025-09-23,전자신문,Blockchain-P2E,media-blockchain,"KBW 2025, 블록체인 위크가 주목해야 할 3가지 변화",KBW; 블록체인,https://www.etnews.com/20250923000464,false,,https://search.naver.com/search.naver?where=news&query=%5B%EA%B9%80%ED%98%B8%EA%B4%91%20%EC%B9%BC%EB%9F%BC%5D%20KBW%202025%2C%20%EB%B8%94%EB%A1%9D%EC%B2%B4%EC%9D%B8%20%EC%9C%84%ED%81%AC%EA%B0%80%20%EC%A3%BC%EB%AA%A9%ED%95%B4%EC%95%BC%20%ED%95%A0%203%EA%B0%80%EC%A7%80%20%EB%B3%80%ED%99%94
2025-09-08,전자신문,AI,media-ai,"중국의 AI 굴기와 한국의 선택, 오픈소스 혁명이 가져온 기회",중국AI; 오픈소스; 딥시크,https://www.etnews.com/20250908000392,true,9,https://search.naver.com/search.naver?where=news&query=%5B%EA%B9%80%ED%98%B8%EA%B4%91%20%EC%B9%BC%EB%9F%BC%5D%20%EC%A4%91%EA%B5%AD%EC%9D%98%20AI%20%EA%B5%B4%EA%B8%B0%EC%99%80%20%ED%95%9C%EA%B5%AD%EC%9D%98%20%EC%84%A0%ED%83%9D%2C%20%EC%98%A4%ED%94%88%EC%86%8C%EC%8A%A4%20%ED%98%81%EB%AA%85%EC%9D%B4%20%EA%B0%80%EC%A0%B8%EC%98%A8%20%EA%B8%B0%ED%9A%8C
2025-09-01,전자신문,Blockchain-P2E,media-blockchain,"디지털 네이티브 시대, 블록체인 기술이 미술 시장의 신경회로가 되다",NFT; 미술; 블록체인,,false,,https://search.naver.com/search.naver?where=news&query=%5B%EA%B9%80%ED%98%B8%EA%B4%91%20%EC%B9%BC%EB%9F%BC%5D%20%EB%94%94%EC%A7%80%ED%84%B8%20%EB%84%A4%EC%9D%B4%ED%8B%B0%EB%B8%8C%20%EC%8B%9C%EB%8C%80%2C%20%EB%B8%94%EB%A1%9D%EC%B2%B4%EC%9D%B8%20%EA%B8%B0%EC%88%A0%EC%9D%B4%20%EB%AF%B8%EC%88%A0%20%EC%8B%9C%EC%9E%A5%EC%9D%98%20%EC%8B%A0%EA%B2%BD%ED%9A%8C%EB%A1%9C%EA%B0%80%20%EB%90%98%EB%8B%A4
2025-08-25,전자신문,Crypto-Stablecoin,media-crypto,"해커에서 블록체인의 리더, 다음 도전을 시작하다-차명훈",코인원; 차명훈,https://www.etnews.com/20250825000153,false,,https://search.naver.com/search.naver?where=news&query=%5B%EA%B9%80%ED%98%B8%EA%B4%91%20%EC%B9%BC%EB%9F%BC%5D%20%ED%95%B4%EC%BB%A4%EC%97%90%EC%84%9C%20%EB%B8%94%EB%A1%9D%EC%B2%B4%EC%9D%B8%EC%9D%98%20%EB%A6%AC%EB%8D%94%2C%20%EB%8B%A4%EC%9D%8C%20%EB%8F%84%EC%A0%84%EC%9D%84%20%EC%8B%9C%EC%9E%91%ED%95%98%EB%8B%A4-%EC%B0%A8%EB%AA%85%ED%9B%88
2025-08-18,전자신문,Crypto-Stablecoin,media-crypto,"원화 스테이블코인 시장, 규제 샌드박스로 독과점 시장에 도전하다",스테이블코인; 원화; 샌드박스,https://www.etnews.com/20250818000068,false,,https://search.naver.com/search.naver?where=news&query=%5B%EA%B9%80%ED%98%B8%EA%B4%91%20%EC%B9%BC%EB%9F%BC%5D%20%EC%9B%90%ED%99%94%20%EC%8A%A4%ED%85%8C%EC%9D%B4%EB%B8%94%EC%BD%94%EC%9D%B8%20%EC%8B%9C%EC%9E%A5%2C%20%EA%B7%9C%EC%A0%9C%20%EC%83%8C%EB%93%9C%EB%B0%95%EC%8A%A4%EB%A1%9C%20%EB%8F%85%EA%B3%BC%EC%A0%90%20%EC%8B%9C%EC%9E%A5%EC%97%90%20%EB%8F%84%EC%A0%84%ED%95%98%EB%8B%A4
2025-07-25,전자신문,Security,media-security,악당의 하수인 해커들: 북한 해커의 '미니언즈' 신드롬과 대응,북한; 해킹; 보안,,false,,https://search.naver.com/search.naver?where=news&query=%5B%EA%B9%80%ED%98%B8%EA%B4%91%20%EC%B9%BC%EB%9F%BC%5D%20%EC%95%85%EB%8B%B9%EC%9D%98%20%ED%95%98%EC%88%98%EC%9D%B8%20%ED%95%B4%EC%BB%A4%EB%93%A4%3A%20%EB%B6%81%ED%95%9C%20%ED%95%B4%EC%BB%A4%EC%9D%98%20'%EB%AF%B8%EB%8B%88%EC%96%B8%EC%A6%88'%20%EC%8B%A0%EB%93%9C%EB%A1%AC%EA%B3%BC%20%EB%8C%80%EC%9D%91
2025-07-21,전자신문,AI,media-ai,인공지능은 경제 공황을 예지할 수 있을까?,AI; 공황; 금융,https://www.etnews.com/20250721000203,false,,https://search.naver.com/search.naver?where=news&query=%5B%EA%B9%80%ED%98%B8%EA%B4%91%20%EC%B9%BC%EB%9F%BC%5D%20%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5%EC%9D%80%20%EA%B2%BD%EC%A0%9C%20%EA%B3%B5%ED%99%A9%EC%9D%84%20%EC%98%88%EC%A7%80%ED%95%A0%20%EC%88%98%20%EC%9E%88%EC%9D%84%EA%B9%8C%3F
2025-07-14,전자신문,Crypto-Stablecoin,media-crypto,알고리즘 스테이블코인의 저주: 테라-루나의 교훈과 한국의 선택,테라; 스테이블코인; 규제,https://www.etnews.com/20250714000094,true,10,https://search.naver.com/search.naver?where=news&query=%5B%EA%B9%80%ED%98%B8%EA%B4%91%20%EC%B9%BC%EB%9F%BC%5D%20%EC%95%8C%EA%B3%A0%EB%A6%AC%EC%A6%98%20%EC%8A%A4%ED%85%8C%EC%9D%B4%EB%B8%94%EC%BD%94%EC%9D%B8%EC%9D%98%20%EC%A0%80%EC%A3%BC%3A%20%ED%85%8C%EB%9D%BC-%EB%A3%A8%EB%82%98%EC%9D%98%20%EA%B5%90%ED%9B%88%EA%B3%BC%20%ED%95%9C%EA%B5%AD%EC%9D%98%20%EC%84%A0%ED%83%9D
2025-07-08,전자신문,Crypto-Stablecoin,media-crypto,"갈라파고스에서 벗어나는 한국의 가상화폐 거래소, 법인·외국인 계정 재개",거래소; 규제완화; 갈라파고스,https://www.etnews.com/20250708000001,false,,https://search.naver.com/search.naver?where=news&query=%5B%EA%B9%80%ED%98%B8%EA%B4%91%20%EC%B9%BC%EB%9F%BC%5D%20%EA%B0%88%EB%9D%BC%ED%8C%8C%EA%B3%A0%EC%8A%A4%EC%97%90%EC%84%9C%20%EB%B2%97%EC%96%B4%EB%82%98%EB%8A%94%20%ED%95%9C%EA%B5%AD%EC%9D%98%20%EA%B0%80%EC%83%81%ED%99%94%ED%8F%90%20%EA%B1%B0%EB%9E%98%EC%86%8C%2C%20%EB%B2%95%EC%9D%B8%C2%B7%EC%99%B8%EA%B5%AD%EC%9D%B8%20%EA%B3%84%EC%A0%95%20%EC%9E%AC%EA%B0%9C
2025-06-30,전자신문,AI,media-ai,"소버린 AI, 글로벌 연대로 발전해야 한다",소버린AI; 기술주권,https://www.etnews.com/20250630000141,false,,https://search.naver.com/search.naver?where=news&query=%5B%EA%B9%80%ED%98%B8%EA%B4%91%20%EC%B9%BC%EB%9F%BC%5D%20%EC%86%8C%EB%B2%84%EB%A6%B0%20AI%2C%20%EA%B8%80%EB%A1%9C%EB%B2%8C%20%EC%97%B0%EB%8C%80%EB%A1%9C%20%EB%B0%9C%EC%A0%84%ED%95%B4%EC%95%BC%20%ED%95%9C%EB%8B%A4
2025-06-26,전자신문,Crypto-Stablecoin,media-crypto,스테이블 코인의 미래-GENIUS Act 이후 한국의 기회와 도전,GENIUS; 스테이블코인; 달러,https://www.etnews.com/20250626000177,true,11,https://search.naver.com/search.naver?where=news&query=%5B%EA%B9%80%ED%98%B8%EA%B4%91%20%EC%B9%BC%EB%9F%BC%5D%20%EC%8A%A4%ED%85%8C%EC%9D%B4%EB%B8%94%20%EC%BD%94%EC%9D%B8%EC%9D%98%20%EB%AF%B8%EB%9E%98-GENIUS%20Act%20%EC%9D%B4%ED%9B%84%20%ED%95%9C%EA%B5%AD%EC%9D%98%20%EA%B8%B0%ED%9A%8C%EC%99%80%20%EB%8F%84%EC%A0%84
2025-06-16,전자신문,Crypto-Stablecoin,media-crypto,원화 스테이블코인이 허용되야 하는 이유,원화; 스테이블코인,https://www.etnews.com/20250616000043,false,,https://search.naver.com/search.naver?where=news&query=%5B%EA%B9%80%ED%98%B8%EA%B4%91%20%EC%B9%BC%EB%9F%BC%5D%20%EC%9B%90%ED%99%94%20%EC%8A%A4%ED%85%8C%EC%9D%B4%EB%B8%94%EC%BD%94%EC%9D%B8%EC%9D%B4%20%ED%97%88%EC%9A%A9%EB%90%98%EC%95%BC%20%ED%95%98%EB%8A%94%20%EC%9D%B4%EC%9C%A0
2025-06-09,전자신문,AI,media-ai,"이재명 시대, 한국을 AI 3강으로 이끌 4대 전략 제언",AI정책; 한국,https://www.etnews.com/20250609000142,false,,https://search.naver.com/search.naver?where=news&query=%5B%EA%B9%80%ED%98%B8%EA%B4%91%20%EC%B9%BC%EB%9F%BC%5D%20%EC%9D%B4%EC%9E%AC%EB%AA%85%20%EC%8B%9C%EB%8C%80%2C%20%ED%95%9C%EA%B5%AD%EC%9D%84%20AI%203%EA%B0%95%EC%9C%BC%EB%A1%9C%20%EC%9D%B4%EB%81%8C%204%EB%8C%80%20%EC%A0%84%EB%9E%B5%20%EC%A0%9C%EC%96%B8
2025-05-23,전자신문,AI,media-ai,구글의 인공지능 전략의 명암: 혁신과 격차 사이,구글; AI,https://www.etnews.com/20250523000081,false,,https://search.naver.com/search.naver?where=news&query=%5B%EA%B9%80%ED%98%B8%EA%B4%91%20%EC%B9%BC%EB%9F%BC%5D%20%EA%B5%AC%EA%B8%80%EC%9D%98%20%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5%20%EC%A0%84%EB%9E%B5%EC%9D%98%20%EB%AA%85%EC%95%94%3A%20%ED%98%81%EC%8B%A0%EA%B3%BC%20%EA%B2%A9%EC%B0%A8%20%EC%82%AC%EC%9D%B4
2025-05-21,전자신문,Blockchain-P2E,media-blockchain,블록체인 기반 투표 시스템 통한 민주주의의 신뢰 회복,투표; 블록체인; 민주주의,https://www.etnews.com/20250521000070,false,,https://search.naver.com/search.naver?where=news&query=%5B%EA%B9%80%ED%98%B8%EA%B4%91%20%EC%B9%BC%EB%9F%BC%5D%20%EB%B8%94%EB%A1%9D%EC%B2%B4%EC%9D%B8%20%EA%B8%B0%EB%B0%98%20%ED%88%AC%ED%91%9C%20%EC%8B%9C%EC%8A%A4%ED%85%9C%20%ED%86%B5%ED%95%9C%20%EB%AF%BC%EC%A3%BC%EC%A3%BC%EC%9D%98%EC%9D%98%20%EC%8B%A0%EB%A2%B0%20%ED%9A%8C%EB%B3%B5
